what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330423781268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1330423787817
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.indent",1330423788185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1330423792507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330423795275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330423805704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330423807978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330423983460
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330423986390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1330423995658
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330424001447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330424001705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330424006947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1330424007115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330424008699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1330424012289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1330424019935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330424022089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330424069594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1330424074185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330424077088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1330424089279
